iShares World ex U.S. Carbon Transition Readiness Aware Active ETF
Fund Holdings as of,"Dec 31, 2025"
Inception Date,"Apr 06, 2021"
Shares Outstanding,"4,125,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DBK","DEUTSCHE BANK AG","Financials","Equity","862,686.79","0.38","862,686.79","22,185.00","38.89","Germany","Xetra","USD","0.85","EUR","-"
"7733","OLYMPUS CORP","Health Care","Equity","845,734.15","0.37","845,734.15","66,800.00","12.66","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"ABBN","ABB LTD","Industrials","Equity","843,095.46","0.37","843,095.46","11,279.00","74.75","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"MBG","MERCEDES-BENZ GROUP N AG","Consumer Discretionary","Equity","842,145.94","0.37","842,145.94","11,937.00","70.55","Germany","Xetra","USD","0.85","EUR","-"
"TD","TORONTO DOMINION","Financials","Equity","826,507.30","0.37","826,507.30","8,758.00","94.37","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"8604","NOMURA HOLDINGS INC","Financials","Equity","822,540.43","0.36","822,540.43","99,100.00","8.30","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"CBK","COMMERZBANK AG","Financials","Equity","820,945.60","0.36","820,945.60","19,363.00","42.40","Germany","Xetra","USD","0.85","EUR","-"
"3092","ZOZO INC","Consumer Discretionary","Equity","820,336.21","0.36","820,336.21","99,600.00","8.24","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"SBRY","SAINSBURY(J) PLC","Consumer Staples","Equity","814,206.18","0.36","814,206.18","186,257.00","4.37","United Kingdom","London Stock Exchange","USD","0.74","GBP","Jan 02, 1985"
"III","3I GROUP PLC","Financials","Equity","810,497.82","0.36","810,497.82","18,467.00","43.89","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
